cardinality,distribution_normal,distribution_skewed,distribution_uniform,method_cl,method_mr,method_original,method_rl,method_rs,method_sp,build_cost,query_cost
1600,1,0,0,0,0,0,0,0,1,4,3
400,0,1,0,0,1,0,0,0,0,6,3
800,0,0,1,0,0,0,0,0,1,4,1
400,0,0,1,1,0,0,0,0,0,1,4
8,0,1,0,1,0,0,0,0,0,2,2
1,0,0,1,0,0,0,0,1,0,5,4
64,0,1,0,0,0,0,1,0,0,2,4
16,0,0,1,0,0,1,0,0,0,3,2
4,1,0,0,0,0,1,0,0,0,2,2
16,0,1,0,0,0,1,0,0,0,3,1
4,0,0,1,0,0,0,1,0,0,1,6
400,0,0,1,0,0,0,0,1,0,4,6
8,1,0,0,0,1,0,0,0,0,5,4
200,1,0,0,1,0,0,0,0,0,1,4
128,0,0,1,1,0,0,0,0,0,1,2
200,0,0,1,0,0,0,1,0,0,3,3
2,1,0,0,0,0,1,0,0,0,2,2
6400,0,1,0,0,1,0,0,0,0,6,1
8,1,0,0,0,0,0,0,1,0,3,5
6400,0,1,0,1,0,0,0,0,0,1,3
64,1,0,0,0,0,0,0,0,1,4,2
4,1,0,0,1,0,0,0,0,0,1,3
1,1,0,0,0,0,0,0,0,1,3,1
2,1,0,0,1,0,0,0,0,0,1,4
800,0,1,0,0,0,0,0,0,1,4,2
400,0,0,1,0,1,0,0,0,0,6,2
128,0,1,0,0,0,0,1,0,0,2,5
3200,0,0,1,0,0,1,0,0,0,2,5
1600,0,1,0,0,0,0,0,1,0,4,6
